Batch,Seq,Original VM Name *,Original front end IP *,Original backend IP *,Original # of vCPU,Original # of Memory (GB),Original Disk Type,Original System Disk Size (GB),Original Data Disk Size (GB),Original Additional Data Disk (GB),Original Guest OS Version,Original # of NIC,Original Environment (Production/Testing),Original Security Zone,Original Site,Require Backup?,Require VM Replication?,Migration Approach,New VM Name,Functional tag,Plan,OS,Environment,Network Segment,Disk Type,System Disk Size (GB),Additional Data Disk Size (GB),Shared Disk Name,Backup Start Time,Require Backup,Retention Period,Require Offsite Backup,Require Antivirus,Require VM Replication,Require GCIS Common Service,VM Name,PNAT IP,PNAT Port,SNAT IP for Internet DMZ/ GNET DMZ/ Trusted Zone,SNAT IP for NOT connecting to GCIS Common Services,Virtual Machine IP,Virtual IP (VIP),Datastore Name,ESXi Host,Network Segement Name,"GNET IP Assignment 
(Only for GNET Zone)","Internet IP Assignment 
(Only for Internet Zone)",User Login,Password,
Batch 2,7,EID-WCSL-RVPXY01,10.104.0.38,N/A,1,4,Tier 2,40,50,,CentOS 7.8,1,Production,Internet DMZone,WCDC,No,No,Replication,centos,ost01,S,CentOS 7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-centos-01,172.17.10.135,35487,,,192.168.13.248,,,,,,,,,
Batch 2,8,EID-WCSL-MYSQL01,10.104.37.166,N/A,2,8,Tier 2,60,100,10+32,Oracle Linux 7.6,1,Production,Trusted Zone,WCDC,No,No,Replication,orlinux,ost02,S,Oracle Linux 7.6,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),60,0,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-orlinux-01,172.17.10.135,35488,,,192.168.13.249,,,,,,,,,
Batch 2,9,EID-WCUL-CAAS11,10.104.37.33,N/A,4,16,Tier 2,40,100,,CentOS 7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulcdm11,ucdm11,L,CentOS 7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulcdm11-01,172.17.10.135,35028,,,192.168.12.33,192.168.12.51,,,,,,,,
Batch 2,10,EID-WCUL-CAAS12,10.104.37.34,N/A,4,16,Tier 2,40,100,,CentOS 7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulcdm12,ucdm11,L,CentOS 7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulcdm12-01,172.17.10.135,35029,,,192.168.12.34,192.168.12.51,,,,,,,,
Batch 2,11,EID-WCUL-CAAS13,10.104.37.35,N/A,4,16,Tier 2,40,100,,CentOS 7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulcdm13,ucdm11,L,CentOS 7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulcdm13-01,172.17.10.135,35030,,,192.168.12.35,192.168.12.51,,,,,,,,
Batch 2,12,new server for ansible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clone from VM centos,aulasb11,uasb11,M,CentOS 7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,01:00 - 02:00,Yes,30 Days,No,No,No,No,p1vias-ogciams-aulasb11-01,172.17.10.135,35243,,,192.168.12.248,,,,,,,,,
Batch 2,13,new server for port forwarding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clone from VM centos,aplpfw11,ppfw11,M,CentOS 7.8,P1,GNET DMZone,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aplpfw11-01,172.17.10.135,34068,,,192.168.4.73,,,,,10.160.8.249,,,,
Batch 3,14,EID-WCUL-SMTP01,10.104.16.41,N/A,1,4,Tier 3,40,0,N/A,CentOS7.8,1,Production,GNET DMZone,WCDC,No,No,Replication,bulsmt01,ulsmt01,S,CentOS7.8,P2,GNET DMZone,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulsmt01-01,172.21.10.135,34036,,,192.168.6.41,,,,,10.160.136.254,,,,
Batch 3,15,EID-WCSL-MYSQL01,10.104.37.166,N/A,2,8,Tier 3,60,100,10+32,Oracle Linux7.6,1,Production,Trusted Zone,WCDC,No,No,Replication,bslmsq01,slmsq01,M,Oracle Linux7.6,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),60,100+10+32,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bslmsq01-01,172.21.10.135,35161,,,192.168.8.166,,,,,,,,,
Batch 3,16,EID-WCSL-MYSQL11,10.104.37.230,N/A,4,16,Tier 3,60,100,10+32,Oracle Linux7.6,1,Production,Trusted Zone,WCDC,No,No,Replication,bslmsq11,slmsq11,L,Oracle Linux7.6,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),60,100+10+32,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bslmsq11-01,172.21.10.135,35225,,,192.168.8.230,,,,,,,,,
